id	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
8753	genus	Sphingorhabdus	3	2	2	2	2	2.00	0.00	[2, 2, 2]
8754	genus	Desulfuromonas	2	2	2	2	2.0	2.00	0.00	[2, 2]
8755	genus	Thermosediminibacter	1	3	3	3	3	3.00	0.00	[3]
8756	genus	Owenweeksia	1	2	2	2	2	2.00	0.00	[2]
8757	genus	Rothia	5	3	3	3	3	3.00	0.00	[3, 3, 3, 3, 3]
8758	genus	Sphingomonas	14	1	4	2	2.0	2.21	0.67	[2, 2, 3, 2, 2, 1, 2, 3, 2, 2, 2, 4, 2, 2]
8759	genus	Tropheryma	2	1	1	1	1.0	1.00	0.00	[1, 1]
8760	genus	Thermoproteus	2	1	1	1	1.0	1.00	0.00	[1, 1]
8761	genus	Methyloceanibacter	1	1	1	1	1	1.00	0.00	[1]
8762	genus	Singulisphaera	1	8	8	8	8	8.00	0.00	[8]
8763	genus	Arenibacter	1	3	3	3	3	3.00	0.00	[3]
8764	genus	Photorhabdus	3	7	7	7	7	7.00	0.00	[7, 7, 7]
8765	genus	Exiguobacterium	6	9	10	9	9.0	9.17	0.37	[9, 9, 9, 9, 10, 9]
8766	genus	Ureaplasma	8	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2]
8767	genus	Fictibacillus	2	7	7	7	7.0	7.00	0.00	[7, 7]
8768	genus	Methanothermococcus	1	2	2	2	2	2.00	0.00	[2]
8769	genus	Tetragenococcus	3	5	5	5	5	5.00	0.00	[5, 5, 5]
8770	genus	Streptobacillus	1	5	5	5	5	5.00	0.00	[5]
8771	genus	Dialister	1	5	5	5	5	5.00	0.00	[5]
8772	genus	Thalassospira	1	4	4	4	4	4.00	0.00	[4]
8773	genus	Bacillus	354	1	16	10	10.0	10.46	2.41	[7, 13, 11, 12, 11, 7, 11, 14, 10, 7, 8, 13, 7, 13, 14, 9, 13, 7, 14, 14, 14, 13, 11, 12, 14, 11, 11, 12, 14, 11, 8, 7, 10, 10, 14, 13, 6, 10, 7, 10, 9, 7, 11, 10, 10, 12, 10, 12, 10, 10, 9, 14, 10, 10, 13, 12, 14, 10, 11, 15, 14, 9, 10, 9, 12, 13, 9, 10, 9, 7, 10, 9, 9, 10, 9, 12, 10, 15, 10, 11, 10, 8, 10, 8, 14, 7, 13, 10, 10, 8, 7, 14, 9, 10, 7, 7, 11, 14, 11, 12, 14, 7, 7, 7, 9, 1, 7, 10, 10, 13, 8, 14, 9, 9, 10, 8, 11, 13, 14, 14, 10, 11, 11, 14, 11, 14, 11, 11, 12, 11, 10, 10, 10, 13, 11, 13, 14, 14, 14, 14, 10, 14, 11, 13, 8, 14, 11, 14, 11, 11, 13, 8, 13, 11, 7, 6, 10, 13, 10, 10, 10, 11, 7, 8, 8, 7, 14, 10, 9, 9, 10, 13, 10, 10, 10, 11, 14, 14, 13, 8, 10, 13, 7, 6, 12, 10, 9, 14, 1, 7, 10, 11, 12, 8, 9, 10, 8, 14, 8, 8, 8, 9, 9, 14, 8, 7, 8, 13, 10, 13, 16, 15, 13, 12, 9, 14, 11, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 9, 7, 15, 10, 7, 10, 10, 8, 9, 10, 12, 10, 14, 14, 9, 8, 10, 10, 9, 10, 13, 5, 8, 9, 10, 9, 13, 11, 9, 9, 10, 10, 8, 8, 10, 8, 9, 11, 8, 8, 8, 15, 15, 14, 11, 9, 14, 9, 13, 12, 13, 10, 9, 8, 9, 10, 14, 8, 8, 8, 8, 8, 10, 14, 7, 15, 9, 9, 11, 10, 9, 8, 10, 8, 10, 9, 9, 10, 10, 13, 8, 12, 9, 14, 12, 10, 10, 8, 10, 10, 9, 8, 14, 14, 14, 14, 10, 13, 9, 14, 14, 14, 8, 9, 9, 9, 8, 12, 14, 15, 7, 10, 10, 8, 10, 11, 14, 10, 9, 9, 11, 8, 8, 8]
8774	genus	Raoultella	6	8	8	8	8.0	8.00	0.00	[8, 8, 8, 8, 8, 8]
8775	genus	Tannerella	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
8776	genus	Thalassolituus	3	3	4	4	4	3.67	0.47	[4, 4, 3]
8777	genus	Thermobifida	1	4	4	4	4	4.00	0.00	[4]
8778	genus	Agromyces	1	3	3	3	3	3.00	0.00	[3]
8779	genus	Eggerthella	2	3	3	3	3.0	3.00	0.00	[3, 3]
8780	genus	Ferrimonas	1	7	7	7	7	7.00	0.00	[7]
8781	genus	Coraliomargarita	1	2	2	2	2	2.00	0.00	[2]
8782	genus	Methylomicrobium	1	3	3	3	3	3.00	0.00	[3]
8783	genus	Halostagnicola	1	2	2	2	2	2.00	0.00	[2]
8784	genus	Desulfitobacterium	5	5	8	6	6	6.20	0.98	[6, 5, 8, 6, 6]
8785	genus	Chlamydophila	16	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
8786	genus	Methanobacterium	7	2	3	2	2	2.29	0.45	[2, 3, 2, 2, 2, 2, 3]
8787	genus	Hydrogenobacter	2	1	1	1	1.0	1.00	0.00	[1, 1]
8788	genus	Sanguibacter	1	4	4	4	4	4.00	0.00	[4]
8789	genus	Phenylobacterium	1	1	1	1	1	1.00	0.00	[1]
8790	genus	Pseudoalteromonas	23	7	12	8	9	9.00	1.41	[9, 8, 7, 9, 8, 7, 9, 8, 9, 10, 12, 12, 12, 10, 9, 9, 8, 8, 10, 8, 8, 8, 9]
8791	genus	Saprospira	1	3	3	3	3	3.00	0.00	[3]
8792	genus	Halobacillus	3	7	7	7	7	7.00	0.00	[7, 7, 7]
8793	genus	Rhodospirillum	2	4	4	4	4.0	4.00	0.00	[4, 4]
8794	genus	Pelobacter	3	2	4		3	3.00	0.82	[2, 3, 4]
8795	genus	Piscirickettsia	19	6	6	6	6	6.00	0.00	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
8796	genus	GpXI	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
8797	genus	Thermobacillus	1	5	5	5	5	5.00	0.00	[5]
8798	genus	Arsenophonus	1	1	1	1	1	1.00	0.00	[1]
8799	genus	Cryobacterium	2	3	3	3	3.0	3.00	0.00	[3, 3]
